date,region,revenue,cost,active_users,new_signups,churn_rate,nps
2024-01,AMER,460000,300000,13500,900,0.05,35
2024-02,AMER,475000,305000,13750,950,0.049,36
2024-03,AMER,495000,315000,14000,980,0.048,37
2024-04,AMER,510000,322000,14250,1000,0.047,38
2024-05,AMER,525000,330000,14500,1025,0.046,38
2024-06,AMER,540000,338000,14750,1040,0.045,39
2024-07,AMER,555000,347000,15000,1060,0.044,40
2024-08,AMER,565000,353000,15200,1080,0.043,41
2024-09,AMER,580000,360000,15450,1100,0.043,41
2024-10,AMER,595000,368000,15700,1125,0.042,42
2024-11,AMER,605000,375000,15950,1150,0.041,42
2024-12,AMER,620000,382000,16200,1175,0.041,43
2024-01,EMEA,420000,280000,12000,800,0.045,38
2024-02,EMEA,430000,286000,12200,820,0.044,39
2024-03,EMEA,445000,293000,12450,840,0.043,40
2024-04,EMEA,460000,300000,12700,860,0.042,40
2024-05,EMEA,472000,306000,12950,880,0.042,41
2024-06,EMEA,485000,312000,13200,900,0.041,42
2024-07,EMEA,495000,318000,13450,920,0.04,42
2024-08,EMEA,505000,322000,13700,940,0.04,43
2024-09,EMEA,518000,328000,13950,960,0.039,44
2024-10,EMEA,530000,334000,14200,980,0.038,44
2024-11,EMEA,542000,340000,14450,995,0.038,45
2024-12,EMEA,555000,346000,14700,1010,0.037,45
